Run,Time(s),FPS,ms_per_frame
GPU_10k,0.04,26.9,37.20
GPU_10k,0.15,13.5,74.11
GPU_10k,0.27,27.1,36.95
GPU_10k,0.38,26.9,37.11
GPU_10k,0.49,27.0,37.01
GPU_10k,0.60,26.8,37.29
GPU_10k,0.71,27.0,36.97
GPU_10k,0.82,26.9,37.23
GPU_10k,0.93,26.9,37.14
GPU_10k,1.05,27.0,37.08
GPU_10k,1.16,27.0,37.09
GPU_10k,1.27,27.1,36.85
GPU_10k,1.38,27.1,36.96
GPU_10k,1.49,27.1,36.94
GPU_10k,1.60,27.0,37.02
GPU_10k,1.71,26.9,37.17
GPU_10k,1.82,26.9,37.22
GPU_10k,1.94,26.9,37.14
GPU_10k,2.05,27.2,36.76
GPU_10k,2.16,26.9,37.16
GPU_10k,2.27,26.8,37.25
GPU_10k,2.38,27.2,36.79
GPU_10k,2.49,27.1,36.86
GPU_10k,2.60,26.9,37.23
GPU_10k,2.71,27.0,37.02
GPU_10k,2.83,27.0,37.04
GPU_10k,2.94,26.9,37.20
GPU_10k,3.05,26.7,37.42
GPU_10k,3.16,27.0,37.00
GPU_10k,3.27,27.1,36.97
GPU_10k,3.38,27.1,36.95
GPU_10k,3.49,27.0,37.09
GPU_10k,3.60,26.9,37.12
GPU_10k,3.72,27.2,36.79
GPU_10k,3.83,27.0,37.02
GPU_10k,3.94,27.0,37.03
GPU_10k,4.05,27.0,37.01
GPU_10k,4.16,26.9,37.11
GPU_10k,4.27,27.0,37.09
GPU_10k,4.38,27.0,37.09
GPU_10k,4.50,27.0,37.06
GPU_10k,4.61,27.1,36.94
GPU_10k,4.72,26.9,37.19
GPU_10k,4.83,26.9,37.12
GPU_10k,4.94,27.1,36.94
GPU_10k,5.05,26.8,37.26
GPU_10k,5.16,27.2,36.73
GPU_10k,5.27,26.7,37.45
GPU_10k,5.39,26.8,37.31
GPU_10k,5.50,27.1,36.93
GPU_10k,5.61,27.1,36.84
GPU_10k,5.72,27.1,36.91
GPU_10k,5.83,27.0,36.97
GPU_10k,5.94,26.8,37.35
GPU_10k,6.05,26.7,37.42
GPU_10k,6.16,27.1,36.89
GPU_10k,6.28,26.8,37.32
GPU_10k,6.39,26.9,37.24
GPU_10k,6.50,27.1,36.92
GPU_10k,6.61,27.1,36.93
GPU_10k,6.72,27.1,36.84
GPU_10k,6.83,26.8,37.32
GPU_10k,6.94,26.8,37.31
GPU_10k,7.05,27.0,37.10
GPU_10k,7.17,27.0,37.08
GPU_10k,7.28,26.9,37.14
GPU_10k,7.39,26.8,37.36
GPU_10k,7.50,27.1,36.93
GPU_10k,7.61,26.8,37.32
GPU_10k,7.72,27.0,36.97
GPU_10k,7.83,27.1,36.90
GPU_10k,7.94,26.9,37.18
GPU_10k,8.06,27.2,36.77
GPU_10k,8.17,26.8,37.34
GPU_10k,8.28,26.8,37.27
GPU_10k,8.39,27.1,36.93
GPU_10k,8.50,26.8,37.32
GPU_10k,8.61,26.9,37.20
GPU_10k,8.72,26.4,37.84
GPU_10k,8.84,27.1,36.89
GPU_10k,8.95,27.0,36.97
GPU_10k,9.06,26.8,37.30
GPU_10k,9.17,27.1,36.92
GPU_10k,9.28,26.8,37.25
GPU_10k,9.39,26.6,37.58
GPU_10k,9.50,26.9,37.22
GPU_10k,9.62,27.0,36.98
GPU_10k,9.73,27.0,37.01
GPU_10k,9.84,27.2,36.79
GPU_10k,9.95,27.5,36.34
