Run,Time(s),FPS,ms_per_frame
GPU_2500,0.01,81.9,12.22
GPU_2500,0.11,84.7,11.80
GPU_2500,0.22,82.6,12.11
GPU_2500,0.33,83.1,12.03
GPU_2500,0.44,83.7,11.95
GPU_2500,0.55,82.8,12.08
GPU_2500,0.66,83.5,11.98
GPU_2500,0.77,83.6,11.97
GPU_2500,0.88,82.8,12.07
GPU_2500,0.99,83.6,11.97
GPU_2500,1.10,82.9,12.07
GPU_2500,1.20,80.8,12.38
GPU_2500,1.30,80.0,12.50
GPU_2500,1.40,79.3,12.61
GPU_2500,1.50,80.6,12.41
GPU_2500,1.60,78.3,12.77
GPU_2500,1.70,80.5,12.42
GPU_2500,1.80,78.9,12.67
GPU_2500,1.90,78.5,12.75
GPU_2500,2.00,81.4,12.29
GPU_2500,2.11,80.9,12.36
GPU_2500,2.21,78.0,12.82
GPU_2500,2.31,82.0,12.19
GPU_2500,2.41,80.6,12.40
GPU_2500,2.51,75.9,13.17
GPU_2500,2.61,80.4,12.44
GPU_2500,2.71,79.9,12.52
GPU_2500,2.81,77.0,12.98
GPU_2500,2.93,78.6,12.73
GPU_2500,3.03,81.1,12.33
GPU_2500,3.13,81.3,12.30
GPU_2500,3.23,79.4,12.59
GPU_2500,3.33,75.7,13.20
GPU_2500,3.43,79.6,12.57
GPU_2500,3.53,78.1,12.81
GPU_2500,3.64,74.4,13.44
GPU_2500,3.74,78.1,12.81
GPU_2500,3.85,78.2,12.78
GPU_2500,3.95,75.4,13.26
GPU_2500,4.06,76.1,13.15
GPU_2500,4.16,75.6,13.22
GPU_2500,4.27,72.8,13.74
GPU_2500,4.38,76.4,13.09
GPU_2500,4.48,76.1,13.13
GPU_2500,4.59,72.2,13.86
GPU_2500,4.70,75.5,13.24
GPU_2500,4.81,76.0,13.15
GPU_2500,4.92,75.7,13.21
GPU_2500,5.02,73.3,13.64
GPU_2500,5.13,76.0,13.16
GPU_2500,5.24,75.5,13.24
GPU_2500,5.35,75.8,13.19
GPU_2500,5.45,72.9,13.71
GPU_2500,5.56,73.5,13.60
GPU_2500,5.66,74.9,13.35
GPU_2500,5.78,74.5,13.43
GPU_2500,5.88,71.9,13.91
GPU_2500,5.99,75.4,13.26
GPU_2500,6.10,72.4,13.82
GPU_2500,6.21,77.7,12.87
GPU_2500,6.33,43.0,23.24
GPU_2500,6.43,89.4,11.18
GPU_2500,6.54,75.5,13.25
GPU_2500,6.64,76.1,13.14
GPU_2500,6.75,75.9,13.17
GPU_2500,6.86,72.3,13.83
GPU_2500,6.96,83.2,12.03
GPU_2500,7.08,42.2,23.70
GPU_2500,7.18,59.3,16.88
GPU_2500,7.30,56.9,17.58
GPU_2500,7.40,66.6,15.02
GPU_2500,7.51,68.8,14.53
GPU_2500,7.61,87.3,11.45
GPU_2500,7.71,75.0,13.33
GPU_2500,7.82,79.3,12.61
GPU_2500,7.92,64.3,15.54
GPU_2500,8.04,63.6,15.73
GPU_2500,8.14,67.3,14.87
GPU_2500,8.25,73.6,13.59
GPU_2500,8.35,81.6,12.25
GPU_2500,8.46,75.6,13.23
GPU_2500,8.56,74.6,13.41
GPU_2500,8.67,77.1,12.96
GPU_2500,8.77,92.4,10.82
GPU_2500,8.88,74.8,13.36
GPU_2500,8.98,76.7,13.03
GPU_2500,9.09,75.4,13.26
GPU_2500,9.19,73.2,13.66
GPU_2500,9.30,75.9,13.17
GPU_2500,9.40,75.8,13.19
GPU_2500,9.51,76.8,13.03
GPU_2500,9.61,78.3,12.78
GPU_2500,9.72,81.3,12.30
GPU_2500,9.82,74.1,13.50
GPU_2500,9.93,78.1,12.80
GPU_2500,10.03,83.3,12.01
GPU_2500,10.13,78.0,12.82
GPU_2500,10.24,67.9,14.73
GPU_2500,10.34,72.9,13.72
GPU_2500,10.45,73.4,13.63
GPU_2500,10.57,79.5,12.58
GPU_2500,10.67,76.9,13.00
GPU_2500,10.78,79.2,12.62
GPU_2500,10.88,80.8,12.38
GPU_2500,10.98,80.8,12.38
GPU_2500,11.09,79.9,12.51
GPU_2500,11.20,47.9,20.86
GPU_2500,11.30,79.6,12.56
GPU_2500,11.40,76.2,13.12
GPU_2500,11.51,84.9,11.78
GPU_2500,11.62,80.3,12.45
GPU_2500,11.72,80.1,12.48
GPU_2500,11.83,78.3,12.77
GPU_2500,11.93,85.0,11.76
GPU_2500,12.03,82.0,12.19
GPU_2500,12.13,79.1,12.64
GPU_2500,12.24,75.1,13.31
